t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
1.342500,BARO,0.04367695,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.007093,1,1
1.362500,MAG,1.03363144,-0.17610346,0.69914996,0.00000000,0.00000000,0.00000000,2.406658,3,1
1.362500,BARO,-0.63019323,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.482588,1,1
1.382500,MAG,0.78083547,-1.65976101,0.57753936,0.00000000,0.00000000,0.00000000,5.213590,3,1
1.382500,BARO,-0.36137035,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.489223,1,1
1.402500,MAG,0.20934892,-0.59748791,0.98814080,0.00000000,0.00000000,0.00000000,2.067342,3,1
1.402500,BARO,-0.29949268,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.337063,1,1
1.405000,GPS,-1.37662833,2.54618504,-0.26101096,-0.02333485,-0.04096273,0.15677304,3.634819,6,1
1.422500,MAG,-1.66909590,0.37547311,1.53520598,0.00000000,0.00000000,0.00000000,6.871785,3,1
1.422500,BARO,0.31851029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.378753,1,1
1.442500,MAG,0.11208035,0.00195727,1.25509387,0.00000000,0.00000000,0.00000000,2.418931,3,1
1.442500,BARO,0.28353740,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.301180,1,1
1.462500,MAG,1.38488396,-0.91639251,0.73174909,0.00000000,0.00000000,0.00000000,4.777770,3,1
1.462500,BARO,-0.27840189,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.291247,1,1
1.482500,MAG,0.98726707,0.52034150,1.97352972,0.00000000,0.00000000,0.00000000,7.991708,3,1
1.482500,BARO,0.47471545,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.849064,1,1
1.502500,MAG,1.35635536,0.21386906,0.90946402,0.00000000,0.00000000,0.00000000,4.130034,3,1
1.502500,BARO,0.17010891,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.109283,1,1
1.505000,GPS,0.02131254,-2.48715444,-0.54214873,-0.20208797,-0.49676803,-0.19581173,8.199978,6,1
1.522500,MAG,-1.98831412,-0.43106630,2.13023901,0.00000000,0.00000000,0.00000000,11.420100,3,1
1.522500,BARO,0.45518656,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.775333,1,1
1.542500,MAG,1.07980558,0.19553247,0.42050477,0.00000000,0.00000000,0.00000000,2.018973,3,1
1.542500,BARO,0.02795185,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.002933,1,1
1.562500,MAG,0.47566826,0.42476676,1.54165140,0.00000000,0.00000000,0.00000000,4.296167,3,1
1.562500,BARO,-0.28810032,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.312439,1,1
1.582500,MAG,2.34068611,0.30050485,0.40691044,0.00000000,0.00000000,0.00000000,8.281301,3,1
1.582500,BARO,-0.32024943,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.387006,1,1
1.602500,MAG,0.47004162,0.64784724,1.50945256,0.00000000,0.00000000,0.00000000,4.478776,3,1
1.602500,BARO,0.43335813,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.710196,1,1
1.605000,GPS,-2.02372340,-2.30293733,-0.90345303,-0.41155879,0.05866169,0.03757365,7.506235,6,1
1.622500,MAG,-1.17502655,-1.01411009,-0.25523718,0.00000000,0.00000000,0.00000000,3.430883,3,1
1.622500,BARO,-0.54372367,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.106284,1,1
1.642500,MAG,-1.77210531,-0.27340229,0.08369857,0.00000000,0.00000000,0.00000000,4.470231,3,1
1.642500,BARO,0.73054498,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2.003412,1,1
1.662500,MAG,0.64353319,0.34933415,1.18850647,0.00000000,0.00000000,0.00000000,3.027191,3,1
1.662500,BARO,0.23371097,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.205607,1,1
1.682500,MAG,1.08600264,1.37521265,0.94074283,0.00000000,0.00000000,0.00000000,5.817760,3,1
1.682500,BARO,-0.34135545,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.439700,1,1
1.702500,MAG,0.66250034,0.44751016,-0.21599462,0.00000000,0.00000000,0.00000000,0.960022,3,1
1.702500,BARO,0.29272303,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.324040,1,1
1.705000,GPS,-2.71568900,1.02043603,-1.06308516,0.10842175,-0.26305495,-0.10983730,5.590978,6,1
1.722500,MAG,0.36707927,-0.14802704,2.21733695,0.00000000,0.00000000,0.00000000,7.769963,3,1
